1728216192004
1728216192019
126,133,131,130,1728216192051
132,138,135,134,1728216192097
132,138,135,134,1728216192112
134,139,137,136,1728216192144
134,139,137,136,1728216192193
136,140,140,137,1728216192241
136,140,140,137,1728216192256
135,138,138,135,1728216192289
134,138,137,135,1728216192336
134,138,137,135,1728216192351
135,138,137,135,1728216192382
136,140,139,136,1728216192430
136,140,139,136,1728216192446
137,141,139,137,1728216192478
137,140,139,136,1728216192525
138,142,141,139,1728216192571
138,142,141,139,1728216192586
132,137,142,141,1728216192619
121,129,131,131,1728216192665
121,129,131,131,1728216192680
114,124,137,143,1728216192713
95,104,122,140,1728216192760
93,101,114,136,1728216192807
93,101,114,136,1728216192821
87,89,98,138,1728216192854
87,89,88,148,1728216192902
87,89,88,148,1728216192917
78,72,21,78,1728216192949
72,55,11,63,1728216192995
58,37,8,30,1728216193044
58,37,8,30,1728216193059
42,25,8,14,1728216193091
39,23,9,11,1728216193140
39,23,9,11,1728216193155
50,35,13,14,1728216193188
54,36,13,15,1728216193233
54,36,13,15,1728216193249
89,100,107,131,1728216193281
106,122,130,135,1728216193327
118,131,132,131,1728216193375
118,131,132,131,1728216193386
118,131,132,131,1728216193422
124,129,128,126,1728216193469
124,129,128,126,1728216193485
123,128,128,125,1728216193516
123,129,129,127,1728216193563
123,129,128,126,1728216193612
123,129,128,126,1728216193627
123,129,129,126,1728216193659
121,128,128,125,1728216193704
121,128,128,125,1728216193721
123,129,128,126,1728216193754
123,129,129,127,1728216193800
123,129,129,127,1728216193811
123,129,129,128,1728216193847
123,129,129,127,1728216193893
123,129,129,128,1728216193941
123,129,129,128,1728216193956
123,129,130,129,1728216193987
124,130,130,129,1728216194034
124,130,130,129,1728216194049
126,132,131,132,1728216194081
118,127,128,130,1728216194128
115,124,125,128,1728216194175
115,124,125,128,1728216194191
114,122,132,136,1728216194224
85,90,102,134,1728216194271
85,90,102,134,1728216194287
67,57,32,33,1728216194317
59,45,20,19,1728216194363
56,41,16,18,1728216194411
56,41,16,18,1728216194427
56,42,20,17,1728216194459
59,47,24,24,1728216194505
59,47,24,24,1728216194521
65,57,35,47,1728216194554
71,64,47,76,1728216194597
71,64,47,76,1728216194614
75,70,52,81,1728216194644
82,88,68,102,1728216194691
84,92,77,102,1728216194739
84,92,77,102,1728216194750
83,88,77,94,1728216194788
82,88,76,101,1728216194835
82,88,76,101,1728216194846
86,91,86,105,1728216194883
87,91,86,105,1728216194931
87,94,87,106,1728216194979
87,94,87,106,1728216194995
99,106,93,114,1728216195027
105,115,108,124,1728216195074
105,115,108,124,1728216195090
113,124,124,132,1728216195122
119,130,129,134,1728216195169
119,130,129,134,1728216195185
125,133,131,133,1728216195216
131,136,136,136,1728216195265
131,136,136,136,1728216195280
129,134,134,134,1728216195311
131,135,136,136,1728216195359
130,134,135,135,1728216195406
130,134,135,135,1728216195423
130,134,136,135,1728216195454
131,135,136,136,1728216195503
131,135,136,136,1728216195519
132,135,137,137,1728216195551
131,136,136,136,1728216195597
134,141,140,140,1728216195645
134,141,140,140,1728216195661
123,133,132,134,1728216195692
119,133,135,135,1728216195739
119,133,135,135,1728216195755
108,123,135,136,1728216195787
100,107,115,122,1728216195835
100,107,115,122,1728216195851
93,98,103,115,1728216195883
82,85,73,91,1728216195930
81,79,58,91,1728216195977
81,79,58,91,1728216195993
72,70,43,38,1728216196025
71,69,42,34,1728216196072
71,69,42,34,1728216196088
71,69,42,42,1728216196121
